method,profile,segment,date,tournament,round,series,confidence,player1,player2,side,value_pct,odds,won,stake,flat_pnl,tier_pnl
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,medium,Nick Kyrgios,Liam Broady,P2,60.931,2.6800,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,high,Botic Van De Zandschulp,Jan-Lennard Struff,P2,22.405,2.6900,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,medium,Christopher O'Connell,Hugo Gaston,P1,13.300,1.8000,1,1.00,0.8000,0.8000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,medium,Kamil Majchrzak,Andreas Seppi,P2,10.706,2.3800,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-18,Australian Open,1st Round,Grand Slam,medium,Sebastian Baez,Albert Ramos-Vinolas,P2,44.173,2.5600,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-19,Australian Open,2nd Round,Grand Slam,high,Pablo Carreno-Busta,Tallon Griekspoor,P2,15.008,3.0500,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-20,Australian Open,2nd Round,Grand Slam,high,Taro Daniel,Andy Murray,P1,16.835,3.7000,1,1.50,2.7000,4.0500
current,hard_edge10_all,Hard|all|high+medium,2022-01-20,Australian Open,2nd Round,Grand Slam,medium,Alex De Minaur,Kamil Majchrzak,P2,33.578,4.2500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-22,Australian Open,3rd Round,Grand Slam,high,Taylor Harry Fritz,Roberto Bautista Agut,P2,13.729,1.7800,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-22,Australian Open,3rd Round,Grand Slam,high,Felix Auger Aliassime,Daniel Evans,P1,14.826,1.9800,1,1.00,0.9800,0.9800
current,hard_edge10_all,Hard|all|high+medium,2022-01-23,Australian Open,4th Round,Grand Slam,high,Matteo Berrettini,Pablo Carreno-Busta,P2,18.497,2.8500,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-01-25,Australian Open,Quarterfinals,Grand Slam,medium,Rafael Nadal,Denis Shapovalov,P2,10.271,3.3900,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-01-26,Australian Open,Quarterfinals,Grand Slam,high,Stefanos Tsitsipas,Jannik Sinner,P1,45.117,2.3100,1,2.00,1.3100,2.6200
current,hard_edge10_all,Hard|all|high+medium,2022-01-31,Maharashtra Open,1st Round,ATP250,high,Quentin Halys,Ricardas Berankis,P1,11.127,2.3000,1,1.00,1.3000,1.3000
current,hard_edge10_all,Hard|all|high+medium,2022-01-31,Maharashtra Open,1st Round,ATP250,high,Daniel Altmaier,Prajnesh Gunneswaran,P2,19.910,3.5000,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-02-01,Maharashtra Open,1st Round,ATP250,high,Emil Ruusuvuori,Egor Gerasimov,P2,11.277,2.8200,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-01,Open Sud de France,1st Round,ATP250,medium,Filip Krajinovic,Alexei Popyrin,P1,10.075,1.8000,1,1.00,0.8000,0.8000
current,hard_edge10_all,Hard|all|high+medium,2022-02-01,Open Sud de France,1st Round,ATP250,medium,Damir Dzumhur,Alex Molcan,P1,24.883,3.0300,1,2.00,2.0300,4.0600
current,hard_edge10_all,Hard|all|high+medium,2022-02-01,Open Sud de France,1st Round,ATP250,medium,Jo-Wilfried Tsonga,Kacper Zuk,P1,28.732,2.1100,1,2.00,1.1100,2.2200
current,hard_edge10_all,Hard|all|high+medium,2022-02-02,Maharashtra Open,2nd Round,ATP250,medium,Kamil Majchrzak,Quentin Halys,P2,32.610,2.3200,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-02,Maharashtra Open,2nd Round,ATP250,high,Daniel Altmaier,Radu Albot,P1,16.335,1.9800,1,1.50,0.9800,1.4700
current,hard_edge10_all,Hard|all|high+medium,2022-02-02,Open Sud de France,1st Round,ATP250,high,Mackenzie Mcdonald,Ilya Ivashka,P2,33.701,2.2400,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-02,Open Sud de France,1st Round,ATP250,medium,Richard Gasquet,Ugo Humbert,P1,23.692,2.9300,1,2.00,1.9300,3.8600
current,hard_edge10_all,Hard|all|high+medium,2022-02-02,Open Sud de France,1st Round,ATP250,medium,Adrian Mannarino,Alejandro Davidovich Fokina,P2,12.485,1.7800,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-03,Open Sud de France,2nd Round,ATP250,medium,Adrian Mannarino,David Goffin,P2,56.831,2.4100,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-04,Maharashtra Open,Quarterfinals,ATP250,high,Joao Sousa,Daniel Altmaier,P1,11.012,2.4100,1,1.00,1.4100,1.4100
current,hard_edge10_all,Hard|all|high+medium,2022-02-05,Open Sud de France,Semifinals,ATP250,medium,Alexander Bublik,Filip Krajinovic,P2,16.675,1.9400,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-02-08,Dallas Open,1st Round,ATP250,medium,Cedrik-Marcel Stebe,Denis Kudla,P2,15.921,1.9800,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-02-08,Dallas Open,1st Round,ATP250,medium,Jurij Rodionov,Maxime Cressy,P1,17.167,3.8000,1,1.50,2.8000,4.2000
current,hard_edge10_all,Hard|all|high+medium,2022-02-08,Dallas Open,1st Round,ATP250,high,Brandon Nakashima,John Millman,P2,17.893,3.5000,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-02-09,Dallas Open,1st Round,ATP250,medium,Adrian Mannarino,Steve Johnson,P2,20.844,2.0800,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-09,Dallas Open,1st Round,ATP250,high,Andreas Seppi,Daniel Altmaier,P2,14.086,1.8500,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-09,Dallas Open,2nd Round,ATP250,high,Marcos Giron,Liam Broady,P2,22.472,2.3600,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-10,Dallas Open,2nd Round,ATP250,high,John Isner,Kevin Anderson,P1,11.854,1.7100,1,1.00,0.7100,0.7100
current,hard_edge10_all,Hard|all|high+medium,2022-02-11,ABN AMRO World Tennis Tournament,Quarterfinals,ATP500,medium,Jiri Lehecka,Lorenzo Musetti,P2,14.260,1.8500,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-11,Dallas Open,2nd Round,ATP250,medium,Adrian Mannarino,Yoshihito Nishioka,P2,46.987,2.6300,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-13,Dallas Open,Semifinals,ATP250,high,Jenson Brooksby,Marcos Giron,P2,14.129,3.1300,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-14,Open 13,1st Round,ATP250,medium,Stefano Travaglia,Henri Laaksonen,P1,36.495,2.4500,1,2.00,1.4500,2.9000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Delray Beach Open,1st Round,ATP250,high,Mitchell Krueger,Jordan Thompson,P1,30.750,2.4600,1,2.00,1.4600,2.9200
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Delray Beach Open,1st Round,ATP250,high,Stefan Kozlov,Emilio Gomez,P2,29.299,2.4700,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Delray Beach Open,1st Round,ATP250,medium,Denis Istomin,Sam Querrey,P1,27.420,2.4500,1,2.00,1.4500,2.9000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Delray Beach Open,1st Round,ATP250,high,Sebastian Korda,Thanasi Kokkinakis,P2,56.036,2.5500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Delray Beach Open,1st Round,ATP250,medium,Adrian Mannarino,Liam Broady,P2,52.290,2.7000,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Open 13,1st Round,ATP250,medium,Tomas Machac,Damir Dzumhur,P2,45.495,2.6200,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Qatar Exxon Mobil Open,1st Round,ATP250,high,Marton Fucsovics,Lloyd Harris,P2,14.814,2.1800,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-15,Qatar Exxon Mobil Open,1st Round,ATP250,medium,Arthur Rinderknech,Jiri Vesely,P2,11.287,2.6300,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-16,Delray Beach Open,2nd Round,ATP250,high,Stefan Kozlov,Steve Johnson,P1,34.081,2.4100,1,2.00,1.4100,2.8200
current,hard_edge10_all,Hard|all|high+medium,2022-02-16,Open 13,1st Round,ATP250,high,Lucas Pouille,Tallon Griekspoor,P1,19.830,3.9700,1,1.50,2.9700,4.4550
current,hard_edge10_all,Hard|all|high+medium,2022-02-16,Qatar Exxon Mobil Open,2nd Round,ATP250,high,Karen Khachanov,Emil Ruusuvuori,P2,16.912,2.4500,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-02-17,Delray Beach Open,2nd Round,ATP250,high,Reilly Opelka,Jack Sock,P2,14.462,3.8000,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-17,Open 13,2nd Round,ATP250,medium,Roman Safiullin,Tomas Machac,P1,40.234,2.6300,1,2.00,1.6300,3.2600
current,hard_edge10_all,Hard|all|high+medium,2022-02-17,Qatar Exxon Mobil Open,Quarterfinals,ATP250,high,Nikoloz Basilashvili,Marton Fucsovics,P1,11.044,2.3600,1,1.00,1.3600,1.3600
current,hard_edge10_all,Hard|all|high+medium,2022-02-18,Open 13,Quarterfinals,ATP250,high,Felix Auger Aliassime,Ilya Ivashka,P2,29.905,3.9100,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-02-18,Qatar Exxon Mobil Open,Semifinals,ATP250,high,Nikoloz Basilashvili,Arthur Rinderknech,P1,19.051,2.1100,1,1.50,1.1100,1.6650
current,hard_edge10_all,Hard|all|high+medium,2022-02-20,Delray Beach Open,The Final,ATP250,high,Cameron Norrie,Reilly Opelka,P1,11.346,1.6900,1,1.00,0.6900,0.6900
current,hard_edge10_all,Hard|all|high+medium,2022-02-20,Open 13,The Final,ATP250,high,Andrey Rublev,Felix Auger Aliassime,P1,32.563,2.4600,1,2.00,1.4600,2.9200
current,hard_edge10_all,Hard|all|high+medium,2022-02-23,Dubai Tennis Championships,2nd Round,ATP500,high,Ricardas Berankis,Alexei Popyrin,P1,43.036,2.6400,1,2.00,1.6400,3.2800
current,hard_edge10_all,Hard|all|high+medium,2022-02-24,Dubai Tennis Championships,Quarterfinals,ATP500,high,Hubert Hurkacz,Jannik Sinner,P1,38.069,2.5900,1,2.00,1.5900,3.1800
current,hard_edge10_all,Hard|all|high+medium,2022-02-26,Abierto Mexicano,Semifinals,ATP500,medium,Rafael Nadal,Daniil Medvedev,P1,10.958,2.1800,1,1.00,1.1800,1.1800
current,hard_edge10_all,Hard|all|high+medium,2022-03-10,BNP Paribas Open,1st Round,Masters 1000,medium,Jack Sock,Juan Manuel Cerundolo,P2,27.599,3.6500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-10,BNP Paribas Open,1st Round,Masters 1000,high,Benjamin Bonzi,Arthur Rinderknech,P1,21.285,2.0200,1,2.00,1.0200,2.0400
current,hard_edge10_all,Hard|all|high+medium,2022-03-11,BNP Paribas Open,1st Round,Masters 1000,high,Andy Murray,Taro Daniel,P2,20.936,2.9300,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-11,BNP Paribas Open,1st Round,Masters 1000,medium,Oscar Otte,Richard Gasquet,P1,36.685,2.3500,1,2.00,1.3500,2.7000
current,hard_edge10_all,Hard|all|high+medium,2022-03-11,BNP Paribas Open,1st Round,Masters 1000,medium,Nick Kyrgios,Sebastian Baez,P2,122.041,2.9400,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-11,BNP Paribas Open,1st Round,Masters 1000,high,Dominik Koepfer,Benoit Paire,P1,18.125,2.1100,1,1.50,1.1100,1.6650
current,hard_edge10_all,Hard|all|high+medium,2022-03-11,BNP Paribas Open,1st Round,Masters 1000,high,Miomir Kecmanovic,Liam Broady,P2,22.928,2.8300,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-12,BNP Paribas Open,1st Round,Masters 1000,high,Steve Johnson,Daniel Altmaier,P2,14.727,2.0000,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-12,BNP Paribas Open,1st Round,Masters 1000,medium,Facundo Bagnis,Henri Laaksonen,P1,42.037,2.5400,1,2.00,1.5400,3.0800
current,hard_edge10_all,Hard|all|high+medium,2022-03-13,BNP Paribas Open,2nd Round,Masters 1000,high,Botic Van De Zandschulp,Felix Auger Aliassime,P1,36.762,4.4200,1,2.00,3.4200,6.8400
current,hard_edge10_all,Hard|all|high+medium,2022-03-13,BNP Paribas Open,2nd Round,Masters 1000,medium,Lloyd Harris,Facundo Bagnis,P1,10.268,1.6400,1,1.00,0.6400,0.6400
current,hard_edge10_all,Hard|all|high+medium,2022-03-14,BNP Paribas Open,2nd Round,Masters 1000,high,Alex De Minaur,John Millman,P2,24.375,3.3500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-14,BNP Paribas Open,3rd Round,Masters 1000,high,Reilly Opelka,Denis Shapovalov,P2,12.548,1.8800,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-14,BNP Paribas Open,3rd Round,Masters 1000,high,Carlos Alcaraz,Roberto Bautista Agut,P2,75.063,2.9300,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-15,BNP Paribas Open,3rd Round,Masters 1000,high,Miomir Kecmanovic,Botic Van De Zandschulp,P1,29.969,2.3100,1,2.00,1.3100,2.6200
current,hard_edge10_all,Hard|all|high+medium,2022-03-15,BNP Paribas Open,3rd Round,Masters 1000,high,Jenson Brooksby,Stefanos Tsitsipas,P2,13.763,1.6800,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-16,BNP Paribas Open,3rd Round,Masters 1000,high,Grigor Dimitrov,Alexander Bublik,P1,13.838,1.8300,1,1.00,0.8300,0.8300
current,hard_edge10_all,Hard|all|high+medium,2022-03-16,BNP Paribas Open,4th Round,Masters 1000,high,Grigor Dimitrov,John Isner,P1,26.894,2.0900,1,2.00,1.0900,2.1800
current,hard_edge10_all,Hard|all|high+medium,2022-03-23,Miami Open,1st Round,Masters 1000,medium,David Goffin,Roberto Carballes Baena,P2,18.318,3.0300,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-03-23,Miami Open,1st Round,Masters 1000,medium,Henri Laaksonen,Benoit Paire,P2,14.685,1.9300,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-23,Miami Open,1st Round,Masters 1000,medium,Borna Coric,Fernando Verdasco,P2,24.386,2.1900,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-23,Miami Open,1st Round,Masters 1000,high,Daniel Elahi Galan,John Millman,P1,19.752,2.8600,1,1.50,1.8600,2.7900
current,hard_edge10_all,Hard|all|high+medium,2022-03-23,Miami Open,1st Round,Masters 1000,medium,Francisco Cerundolo,Tallon Griekspoor,P1,11.214,3.1900,1,1.00,2.1900,2.1900
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Marton Fucsovics,Marcos Giron,P2,24.961,2.1800,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Thanasi Kokkinakis,Richard Gasquet,P2,13.943,3.0300,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Lloyd Harris,Facundo Bagnis,P2,23.997,3.7200,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Emil Ruusuvuori,Maxime Cressy,P1,11.128,1.6600,1,1.00,0.6600,0.6600
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,medium,Ugo Humbert,Aljaz Bedene,P2,16.975,3.2600,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Sebastian Korda,Alejandro Davidovich Fokina,P2,19.253,2.8500,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Jeff Wolf,Daniel Altmaier,P2,40.926,2.4800,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-24,Miami Open,1st Round,Masters 1000,high,Mikhail Kukushkin,Botic Van De Zandschulp,P1,29.290,3.8000,1,2.00,2.8000,5.6000
current,hard_edge10_all,Hard|all|high+medium,2022-03-25,Miami Open,2nd Round,Masters 1000,high,Alexander Bublik,Daniel Elahi Galan,P2,20.876,3.0500,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-25,Miami Open,2nd Round,Masters 1000,high,Fabio Fognini,Taro Daniel,P1,48.157,2.5100,1,2.00,1.5100,3.0200
current,hard_edge10_all,Hard|all|high+medium,2022-03-25,Miami Open,2nd Round,Masters 1000,high,Gael Monfils,Oscar Otte,P2,32.086,3.6900,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-26,Miami Open,2nd Round,Masters 1000,high,Lloyd Harris,Denis Shapovalov,P1,12.102,2.9600,1,1.00,1.9600,1.9600
current,hard_edge10_all,Hard|all|high+medium,2022-03-26,Miami Open,2nd Round,Masters 1000,high,Jenson Brooksby,Nikoloz Basilashvili,P2,27.292,3.1200,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-27,Miami Open,3rd Round,Masters 1000,high,Casper Ruud,Alexander Bublik,P2,19.327,3.8100,0,1.50,-1.0000,-1.5000
current,hard_edge10_all,Hard|all|high+medium,2022-03-28,Miami Open,3rd Round,Masters 1000,high,Thanasi Kokkinakis,Denis Kudla,P2,20.961,3.6200,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-28,Miami Open,3rd Round,Masters 1000,high,Hubert Hurkacz,Aslan Karatsev,P2,11.369,3.4400,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-28,Miami Open,3rd Round,Masters 1000,high,Miomir Kecmanovic,Sebastian Korda,P2,12.463,2.0200,0,1.00,-1.0000,-1.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-28,Miami Open,3rd Round,Masters 1000,high,Jenson Brooksby,Roberto Bautista Agut,P2,24.272,2.2100,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-29,Miami Open,4th Round,Masters 1000,high,Casper Ruud,Cameron Norrie,P2,29.726,2.2600,0,2.00,-1.0000,-2.0000
current,hard_edge10_all,Hard|all|high+medium,2022-03-29,Miami Open,4th Round,Masters 1000,high,Jannik Sinner,Nick Kyrgios,P1,90.285,2.6200,1,2.00,1.6200,3.2400
current,hard_edge10_all,Hard|all|high+medium,2022-03-30,Miami Open,4th Round,Masters 1000,high,Carlos Alcaraz,Stefanos Tsitsipas,P2,61.149,2.7100,0,2.00,-1.0000,-2.0000
